"sim_id","eleccion","s2","alfa","mu","neglogcl","logcl","conv","time"
1,3,1.16066779492706,0.224212951153263,4.58050815375764,1644.070593226,-1644.070593226,0,666.364000000001
2,3,1.53278882778018,0.278757611214746,5.11777938446189,1709.48578872527,-1709.48578872527,0,578.453999999998
3,3,1.08032974270756,0.199772776048133,4.86607346904543,1640.66957624526,-1640.66957624526,0,440.050999999999
4,3,1.08147142715393,0.212680783485011,4.87933200884603,1621.01622703313,-1621.01622703313,0,598.18
5,3,0.946243344750887,0.194619676750432,5.22034158728164,1570.06249224316,-1570.06249224316,0,291.870999999999
6,3,1.48383233942177,0.214321167606046,4.35949081732218,1805.0529279266,-1805.0529279266,0,162.512000000002
7,3,1.32865736412628,0.260369985717828,4.95674931333081,1658.53722055026,-1658.53722055026,0,351.583000000006
8,3,1.3765911234244,0.206875603023224,4.42805750882529,1768.04758036227,-1768.04758036227,0,319.796999999999
9,3,0.994904631465772,0.238060391404153,4.17083682986783,1527.50999069157,-1527.50999069157,0,343.953000000001
10,3,1.52526472732076,0.27063658884499,4.35860233267255,1722.71440940492,-1722.71440940492,0,378.332999999999
11,3,1.1971350907598,0.20199970886901,5.07649995136504,1695.79092744904,-1695.79092744904,0,651.806000000004
12,3,1.18446132066245,0.239696170929212,4.61628403964461,1626.15681858858,-1626.15681858858,0,650.112000000001
13,3,1.02667384508742,0.223253734455115,4.66015338692168,1572.46646293805,-1572.46646293805,0,381.705999999998
14,3,1.35927076979677,0.228768631530873,5.10894907784111,1724.6642512935,-1724.6642512935,10,559.704000000005
15,3,0.994475760974295,0.208139882219472,4.6803571430448,1578.56815593822,-1578.56815593822,0,647.68
16,3,1.34317706801036,0.247493973530152,5.03814664422339,1687.7664552076,-1687.7664552076,0,298.010000000002
17,3,1.17512796074802,0.254373076041431,4.67322767386929,1597.91421880067,-1597.91421880067,0,545.531999999999
18,3,1.06916849664744,0.192992139018478,4.99976877633166,1643.66914623834,-1643.66914623834,0,534.771000000001
19,3,1.14847930273479,0.234946590993204,4.86640099292334,1618.90292879142,-1618.90292879142,0,514.296999999999
20,3,1.45418232489448,0.250759580319544,4.52946569867565,1726.83165207119,-1726.83165207119,10,397.518000000004
21,3,1.46941983542227,0.259065097947022,5.19675008172579,1720.87309593142,-1720.87309593142,0,385.978000000003
22,3,1.21591774899451,0.226861649699869,4.39731498154036,1664.04637368103,-1664.04637368103,0,612.695
23,3,1.25374634325635,0.221288988158174,4.61705020027554,1694.87582100899,-1694.87582100899,0,623.567999999999
24,3,1.13401840130546,0.157259208848988,4.45132855208958,1723.82686830118,-1723.82686830118,0,663.267
25,3,0.941060611726314,0.19474196009587,4.40561694133688,1566.52886638063,-1566.52886638063,0,665.616000000002
26,3,0.871612477737631,0.207436121313176,4.56936418266928,1500.81636483858,-1500.81636483858,0,598.948000000004
27,3,1.51041931171729,0.261082515110016,4.66171111989165,1732.67599889736,-1732.67599889736,0,285.542999999998
28,3,1.47640421203643,0.224089936550015,4.69815489154917,1776.27240666821,-1776.27240666821,0,559.758999999998
29,3,1.373887816546,0.243948289869206,4.47243390321632,1709.07258048722,-1709.07258048722,0,544.817999999999
30,3,1.0640956374279,0.226238130251036,4.42362039196661,1588.79303794343,-1588.79303794343,0,529.595000000001
31,3,1.36355281167852,0.235085661180391,4.79156314115571,1718.26187503633,-1718.26187503633,0,439.156000000003
32,3,0.991217349191039,0.187567835156666,4.88436869732621,1607.75073066688,-1607.75073066688,0,584.851000000002
33,3,0.973480438334613,0.193705529612206,4.54047324166787,1588.25172113396,-1588.25172113396,0,285.271000000001
34,3,1.30380429845305,0.270127454906347,4.49685899285741,1628.28696924016,-1628.28696924016,0,599.218999999997
35,3,1.06436019925175,0.217890540268453,5.08323742449456,1602.73731477696,-1602.73731477696,0,686.077000000005
36,3,1.58387035629297,0.254566411133384,5.20092142508255,1768.71829503804,-1768.71829503804,0,385.328000000001
37,3,1.49899207039513,0.248988875039704,4.95394950472731,1747.64329565926,-1747.64329565926,0,196.173999999999
38,3,1.14711604230097,0.236368652132403,5.1891244923763,1615.54820018524,-1615.54820018524,0,627.616000000002
39,3,1.29289724597961,0.234519407681958,4.3092795053926,1690.69146162985,-1690.69146162985,0,382.109000000004
40,3,1.54144563395629,0.273926918300726,4.96986052138262,1723.10024629836,-1723.10024629836,0,472.667000000001
41,3,0.780062068999648,0.199954200979107,4.59714269192301,1446.28212226458,-1446.28212226458,0,490.805
42,3,1.06846097190946,0.224994282646735,4.5675713161117,1593.01859073673,-1593.01859073673,0,643.346999999994
43,3,1.37702609262517,0.258438427165379,4.98278492692487,1683.38637255985,-1683.38637255985,0,467.418999999994
44,3,1.03140598496809,0.217929326141455,4.6065279625685,1583.36051412572,-1583.36051412572,0,562.242999999995
45,3,1.2829588678095,0.217698788621403,5.23401455889652,1712.27337610819,-1712.27337610819,0,501.257000000005
46,3,1.21622809351602,0.252073436742907,4.87348679786619,1620.34780192423,-1620.34780192423,0,257.740000000005
47,3,0.972887720931672,0.209069691613742,4.72280092166216,1562.37784801936,-1562.37784801936,0,428.548000000003
48,3,1.41008598158231,0.2284516099389,4.73310732427454,1750.20581556662,-1750.20581556662,10,318.296999999999
49,3,1.14513467719998,0.211075018987958,4.65444807413302,1656.96946561991,-1656.96946561991,0,550.247000000003
50,3,0.982558421899207,0.191636191503263,4.64000506001989,1597.39190458815,-1597.39190458815,10,461.824000000001
51,3,1.13282000016878,0.239205048074074,4.87725722513259,1602.91214353284,-1602.91214353284,0,558.084999999999
52,3,1.85857079536222,0.253662233252238,4.82942145695649,1860.06468016014,-1860.06468016014,0,359.177000000003
53,3,1.6326774391647,0.265181503513422,5.00175604365729,1768.70571237402,-1768.70571237402,0,649.601999999999
54,3,1.20146779885569,0.229302985746595,4.92940715836946,1652.3804707163,-1652.3804707163,0,658.265999999996
55,3,1.02601872064211,0.23098501467332,4.64629114124139,1558.67670047017,-1558.67670047017,0,440.235000000001
56,3,1.92839527676834,0.285427202420265,4.49726921636725,1824.09353168062,-1824.09353168062,0,605.25
57,3,0.899274168174726,0.2035844758051,4.70317651871638,1525.77211957931,-1525.77211957931,0,659.860999999997
58,3,1.38114665117598,0.268090018117805,4.56955055906126,1668.48175965777,-1668.48175965777,0,480.667000000001
59,3,1.65224664020253,0.278207351117376,5.05060610034393,1751.19853511357,-1751.19853511357,0,387.896000000001
60,3,1.24698606838781,0.210102792327957,4.92409440945932,1709.69758814783,-1709.69758814783,0,599.652000000002
61,3,1.2696415351744,0.221122560710805,4.35060863301138,1702.93430597284,-1702.93430597284,0,643.173999999999
62,3,1.44171228382343,0.242799610469203,4.80317326267709,1740.5054760925,-1740.5054760925,0,253.159999999996
63,3,1.47393935957854,0.257789243207511,4.77893968198412,1722.79961555358,-1722.79961555358,0,596.594000000005
64,3,0.883943726915859,0.198316373611663,5.1663541311643,1523.76647753137,-1523.76647753137,0,639.466999999997
65,3,1.00253272901272,0.208275676226279,4.68755230724658,1583.25610423067,-1583.25610423067,0,247.199000000001
66,3,1.10650774412399,0.245272082117748,4.72964073883108,1576.67717036754,-1576.67717036754,0,439.190000000002
67,3,1.31595002728206,0.234337294631848,4.56898496755662,1698.91794210583,-1698.91794210583,0,389.807000000001
68,3,1.05278944178624,0.237880733989955,4.68522153567069,1561.99916219744,-1561.99916219744,0,631.004999999997
69,3,1.48815056381896,0.250531029530716,4.89774963201221,1743.2487087123,-1743.2487087123,10,540.423999999999
70,3,1.1906624171027,0.228976182145105,5.18861607268493,1650.22409959067,-1650.22409959067,0,668.262999999999
71,3,2.09681442944404,0.292946914744324,4.91878354770003,1855.11987128031,-1855.11987128031,0,601.406999999999
72,3,1.17146200626831,0.235885615724782,4.61836555490454,1624.50172544052,-1624.50172544052,0,468.995999999999
73,3,1.16365949983968,0.229783761825524,4.64330837699244,1635.69991436774,-1635.69991436774,0,198.046000000002
74,3,1.19421773035795,0.217160679080889,4.72941705810343,1673.00360677423,-1673.00360677423,0,557.444000000003
75,3,1.46714196590624,0.252771725695151,4.7493697158006,1727.32872943969,-1727.32872943969,0,246.169999999998
76,3,1.42150713055786,0.263666548320863,5.02992160314651,1692.64682410485,-1692.64682410485,0,243.915000000001
77,3,1.0863287870567,0.220477517161062,4.95630094960324,1607.86005499534,-1607.86005499534,0,253.802000000003
78,3,1.04637924264119,0.214391319508446,4.5702863720435,1598.76218517009,-1598.76218517009,0,497.119999999995
79,3,1.30209364576599,0.22774184327834,4.52269515338694,1702.83760372454,-1702.83760372454,0,286.589
80,3,1.16635183245845,0.225911073460233,4.6574312824179,1639.13627045044,-1639.13627045044,10,588.305
81,3,0.971779821753608,0.211018075302272,4.71618549983625,1559.84627057869,-1559.84627057869,0,336.546000000002
82,3,1.39178244655436,0.214317251055354,4.48524223774871,1762.87547712297,-1762.87547712297,0,557.635000000002
83,3,1.36632451682286,0.252962839236577,4.90155054704914,1689.33206777847,-1689.33206777847,0,556.049999999996
84,3,1.40526858907839,0.262031929671587,4.34431277722453,1688.44805243232,-1688.44805243232,0,544.368999999999
85,3,1.18089213161063,0.211005353233287,4.77518516169178,1676.07041838059,-1676.07041838059,0,263.008999999998
86,3,0.998405697426715,0.228930814974475,4.87406788845432,1545.79227014852,-1545.79227014852,0,664.478999999999
87,3,1.25054298664638,0.252615746424277,4.26470679149579,1636.90180975142,-1636.90180975142,0,564.264999999999
88,3,1.12667102075475,0.202487587710596,4.50093906994521,1657.9233490279,-1657.9233490279,0,497.457000000002
89,3,1.07394702145061,0.235052450142567,5.03810025032089,1578.84644583614,-1578.84644583614,0,124.743999999999
90,3,1.60340028703015,0.244542889648984,5.15709243748219,1795.31824982779,-1795.31824982779,0,481.514000000003
91,3,1.02591851732913,0.197904169120456,4.75372785008493,1609.70480136254,-1609.70480136254,0,557.173999999999
92,3,1.59554666225621,0.260535673309879,4.34069312510725,1762.02399884919,-1762.02399884919,0,661.863999999994
93,3,0.929641181017214,0.177510619864133,5.18637660193238,1584.74021992099,-1584.74021992099,0,606.284
94,3,1.64230043150686,0.242867818158362,4.69798175292835,1810.90852083128,-1810.90852083128,0,665.326000000001
95,3,1.05000429055666,0.273260046026832,4.59799739837469,1495.81508167037,-1495.81508167037,0,390.576999999997
96,3,1.13112504351493,0.22161379838438,4.57278809431636,1632.75606265234,-1632.75606265234,0,616.889999999999
97,3,0.993604439869641,0.227970703642084,4.67109722109533,1544.6884994852,-1544.6884994852,0,143.668000000005
98,3,1.15538912273174,0.231250847442624,4.52748016492179,1628.46825852684,-1628.46825852684,0,401.091
99,3,0.953106424215624,0.236920844952979,4.58325464788515,1503.69437548287,-1503.69437548287,0,600.648000000001
100,3,1.03406211860596,0.219027761350019,4.82427703531673,1583.61164836764,-1583.61164836764,0,525.828000000001
101,3,1.04591912808386,0.234627452286089,4.93926810762694,1563.31940817375,-1563.31940817375,0,642.119000000006
102,3,1.08039932819204,0.210291156451796,4.71745125865581,1621.10544838283,-1621.10544838283,0,518.449000000001
103,3,1.42872094542448,0.255914447943576,4.5108801276855,1710.83192673603,-1710.83192673603,0,605.053
104,3,1.45961751749986,0.246539897752604,4.49192993382538,1736.50059281522,-1736.50059281522,0,635.952000000005
105,3,1.08846294431903,0.240484261403417,4.62573762771161,1577.01311702067,-1577.01311702067,0,602.743999999999
106,3,1.35018530458231,0.237095462225938,4.81316047973657,1709.56287955103,-1709.56287955103,0,471.453999999998
107,3,1.70197023971378,0.267956496904091,4.74134540076731,1787.74649723296,-1787.74649723296,0,546.620999999999
108,3,0.940359203122656,0.214782478508652,4.82440532631881,1534.19439880119,-1534.19439880119,0,628.243000000002
109,3,1.26951425486548,0.234601270745692,4.24543708463822,1676.54134030152,-1676.54134030152,0,662.523000000001
110,3,1.14736792030249,0.232701809667179,4.99146166995605,1622.25429345296,-1622.25429345296,0,478.539999999994
111,3,1.28265873326025,0.253132557454313,4.51841780506248,1650.31861534775,-1650.31861534775,0,463.810000000005
112,3,0.937543170653929,0.210880035877166,5.28463252965179,1538.74349381459,-1538.74349381459,0,647.272999999994
113,3,0.97847111336874,0.220898374642343,5.15586262538555,1545.70218189455,-1545.70218189455,0,598.483
114,3,1.28366790736998,0.219292820399164,4.5802364726204,1709.04959783154,-1709.04959783154,0,562.129000000001
115,3,1.19290307761813,0.22235083049142,4.71215160011467,1660.38770907977,-1660.38770907977,0,568.179000000004
116,3,1.47869904977088,0.247118920014795,4.61371566004376,1735.38905866507,-1735.38905866507,0,454.792000000001
117,3,1.07721697307803,0.242819752131606,4.84181056936307,1566.68562671072,-1566.68562671072,0,253.233999999997
118,3,1.36821117409738,0.267423351977422,4.45805820675325,1660.03952515203,-1660.03952515203,0,655.504999999997
119,3,1.10856394492632,0.209126808263151,4.506126497478,1641.91177165394,-1641.91177165394,0,659.115999999995
120,3,1.25498825897117,0.249988747856053,4.90161120869035,1642.62885150995,-1642.62885150995,0,418.822
121,3,0.787412547891859,0.17584777319711,4.50647001016274,1487.69452513675,-1487.69452513675,0,543.462999999996
122,3,1.70917447656246,0.270577635172189,4.94263973239752,1786.62976289345,-1786.62976289345,0,592.5
123,3,0.951868940372989,0.18420009722339,4.81015088182409,1589.34995582864,-1589.34995582864,0,662.337
124,3,1.49177530227065,0.226566293360698,4.52828776927216,1782.14386561044,-1782.14386561044,0,495.384000000005
125,3,1.67261442700976,0.216926559170883,4.8464757196014,1856.86721710653,-1856.86721710653,0,471.398000000001
126,3,1.11084428279361,0.247005858265819,4.75751788583048,1577.82509432434,-1577.82509432434,0,434.131000000001
127,3,1.55117669910525,0.280546051351449,4.62429725545173,1714.1136749309,-1714.1136749309,0,543.780000000006
128,3,1.26398075754186,0.250417297666439,4.8607638229941,1646.60955713408,-1646.60955713408,0,556.122000000003
129,3,1.36053981695099,0.261372953516121,4.83322842019849,1669.72978929388,-1669.72978929388,0,550.501000000004
130,3,1.47228762540989,0.235248149140599,4.69777866190945,1764.09415855561,-1764.09415855561,0,506.444000000003
131,3,1.46175042470605,0.238166987518997,5.14847522840661,1755.41829070051,-1755.41829070051,0,585.590000000004
132,3,1.30657043572041,0.248470290802401,4.51833013760633,1671.64495033794,-1671.64495033794,0,421.550000000003
133,3,1.64955892244016,0.217904248060575,5.06592375317404,1851.35672381754,-1851.35672381754,0,458.419999999998
134,3,1.11729773284388,0.212308667500586,4.88533320450234,1640.31180292699,-1640.31180292699,0,326.821000000004
135,3,1.80330505145755,0.242410828177181,4.80203812477024,1850.75363029208,-1850.75363029208,0,658.353999999999
136,3,1.24186073042843,0.238235114503415,4.53194251740574,1656.70403310514,-1656.70403310514,0,640.449000000001
